item_id,image_id,title
869097257188,9075280182,Диск
163956500238,1726652542,Гриф штанги w образный d 26
307130000030,2690812674,Одна неразборная гантеля 12 кг
142136250274,1605177262,Утяжелители для рук и ног Iron Body 2х0.5 кг
869099751723,9232332556,Гантели 6
1135367750064,8003493073,"Блины 7 и 5кг, 50мм для штанги"
813465000274,10521853922,Гиря 29 32 кг
212222000426,1957201713,Эллиптический тренажер Артикул HB-8187ELL
480282750251,3768487026,Элептический тренажер Horizon Elite E408i
269524500567,2542670308,Гантеля разборная 1шт - 9кг
901919251162,9539969477,Гиря 24. кг
525499000330,4115283212,Велотренажер фирмы cliff
576119250077,4431396924,Недорогая Беговая дорожка Carbon Yukon
152513250611,1661114255,Скамья для пресса Torneo brass G-3130
1135382750717,9230566334,Гиря. 16. 32. 22. 20 и 10 кг
1028366750096,10948422733,Силовой тренажер Finnlo
370823950,177081592,Тренажер беговая дорожка Body Sculpture TM-1556-01
1087039500628,11468828120,Беговая дорожка KP-456
843521000122,8762052398,Скамья для пресса Body sculptor
96382500026,1353532231,Беговая дорожка torneo magic T-410
1037403000392,11044092247,Эллиптический тренажер EVO fitness Elion
116215750193,1458596403,Эллиптический тренажер Torneo mobil C-301
813779250222,8401560049,Гантели 12 кг
240351000785,2140590107,Велотренажер IPI STP-2331
1124526001088,11858599066,Блины для штанги 2 штуки по 10 кг
1121579500362,11819032081,Утяжелители для ног
1135395500469,11083828843,Штанги 25-100кг прямые олимпиские
901609002915,9532107727,Беговая дорожка Proxima Bella II
386666118,207622829,Орбитрек SS-550 USA style магнетик+ сидение mod 20
69752750363,1627183459,Диски Barbell обрезиненные евро-класс по 50 кг
152337750039,1712804312,Вибромассажер HM-3004
1124388500315,11856342737,Немецкий тренажер Kettler на все группы мышц
145086750554,1626963475,Кардио Твистер Череповец
864009750170,9741731506,Скакалка Xiaomi Yunmai Sports Jump Rope Standart V
1047166500311,11128376007,Беговая дорожка Torneo t-303 электрическая
88235500441,1308832396,Утяжелители на ноги по 800грамм каждый
1032218000390,10993606649,Велотренажер torneo riva
416751501547,3443821609,Гантели советские правильные
252820000421,2202223589,Блины 2x15 кг
187796250441,1836876807,Hastings
481357000002,8525009635,Гиря 16кг мзив
153959500519,1670415460,Domyos Гантели + штанга 93 кг
501777250514,3937796001,Велотренажер Sport Elit SE-200
474869000061,3732431241,Беговая дорожка Carbon Fitness T802 HRC
963894500232,10266943191,Mi band 5
235795750505,2097779472,"Штанга ""W"""
664189001471,5091791418,Гантели. 5кг
284928750246,2514476236,Продам Эллиптический тренажер
874334500300,9128001259,Эллиптический тренажер DFC E504HB
1121533750949,11822877621,Гиперэкстензия Alpin Energy G-6
272039000409,2370038193,Куплю гирю СССР
